protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_total_ms, var_detecting_total_ms, avg_detecting_detection_only_ms, var_detecting_detection_only_ms, avg_detecting_flow_table_ms, var_detecting_flow_table_ms, avg_detecting_other_ms, var_detecting_other_ms, avg_detecting_detection_ratio, var_detecting_detection_ratio, avg_detecting_flow_table_ratio, var_detecting_flow_table_ratio, avg_detecting_other_ratio, var_detecting_other_ratio
TLS.FbookReelStory ,                 1,           91,       337, SocialNetwork ,           6,    248,               4.000000,               0.000000,          458.225806,         2715.199011,           59.951613,         8918.594433,      46273.016129,        11715801465.644901,               0.007566,               0.000002,                        0.006584,                        0.000001,                    0.000373,                    0.000000,               0.000609,               0.000000,                      0.870203,                      0.003194,                       0.049278,                       0.001990,                  0.080519,                  0.002365
TLS.Microsoft365   ,                 1,           91,       219, Collaborative ,          15,    244,               4.016393,               0.016125,          486.553279,         9466.222571,           37.188525,         2431.366098,      18815.344262,         2006608224.365090,               0.008509,               0.000001,                        0.007496,                        0.000001,                    0.000403,                    0.000000,               0.000611,               0.000000,                      0.880922,                      0.004744,                       0.047308,                       0.001793,                  0.071771,                  0.001633
TLS.LinkedIn       ,                 1,           91,       233, SocialNetwork ,           6,    228,               4.000000,               0.000000,          461.552632,         1822.229686,           28.618421,          259.165801,       9533.184211,          202944363.729224,               0.009149,               0.000193,                        0.008139,                        0.000191,                    0.000390,                    0.000000,               0.000620,               0.000000,                      0.889595,                      0.000000,                       0.042649,                       0.002263,                  0.067755,                  0.002998
HTTP.GoogleServices,                 1,            7,       239, Web           ,           5,    210,               3.995238,               0.004739,          611.257143,         4877.886259,           44.733333,         1635.776508,      20468.400000,         1938220675.725714,               0.005837,               0.000003,                        0.004767,                        0.000003,                    0.000391,                    0.000000,               0.000679,               0.000000,                      0.816732,                      0.000000,                       0.066983,                       0.004365,                  0.116285,                  0.007332
HTTP               ,                 1,            0,         7, ConnCheck     ,          30,    191,               4.000000,               0.000000,          548.638743,          314.450646,           37.534031,           51.892821,       3515.162304,             625596.774705,               0.006175,               0.000002,                        0.005122,                        0.000002,                    0.000343,                    0.000000,               0.000710,               0.000000,                      0.829437,                      0.004805,                       0.055605,                       0.002344,                  0.114958,                  0.004852
HTTP.Google        ,                 1,            7,       126, Web           ,           5,    183,               4.000000,               0.000000,          863.284153,        43233.252590,          120.748634,      1030787.816596,     111740.448087,      1554390767245.657227,               0.006249,               0.000009,                        0.005234,                        0.000009,                    0.000398,                    0.000000,               0.000617,               0.000000,                      0.837656,                      0.000000,                       0.063648,                       0.005211,                  0.098696,                  0.006789
NetBIOS.SMBv23     ,                 1,           10,        41, System        ,          18,    179,               8.944134,               0.108611,         1095.530726,         8371.668050,           88.731844,        19457.168316,      23267.351955,         1312313265.814675,               0.010786,               0.000006,                        0.009240,                        0.000006,                    0.000519,                    0.000000,               0.001027,               0.000000,                      0.856672,                      0.000000,                       0.048073,                       0.003853,                  0.095255,                  0.002420
TLS.Yahoo          ,                 1,           91,        70, Advertisement ,         101,    179,               4.000000,               0.000000,          573.759777,        24848.640617,           21.748603,           41.707749,       6785.553073,            3884937.934334,               0.008394,               0.000001,                        0.007343,                        0.000001,                    0.000384,                    0.000000,               0.000667,               0.000000,                      0.874821,                      0.004524,                       0.045707,                       0.001579,                  0.079472,                  0.001905
DCERPC             ,                 1,            0,       370, RPC           ,          16,    165,               7.127273,               1.456529,         1101.296970,       534338.475445,           32.339394,          217.399963,       6405.890909,           27794438.751736,               0.006013,               0.000005,                        0.004709,                        0.000004,                    0.000401,                    0.000000,               0.000903,               0.000000,                      0.783117,                      0.000000,                       0.066669,                       0.003787,                  0.150214,                  0.010992
HTTP.Microsoft     ,                 1,            7,       212, Web           ,           5,    159,               4.012579,               0.024999,          453.025157,          546.666034,           12.440252,           24.875361,       4536.811321,           45997561.310312,               0.006904,               0.000004,                        0.005860,                        0.000003,                    0.000370,                    0.000000,               0.000673,               0.000000,                      0.848865,                      0.000000,                       0.053587,                       0.003515,                  0.097548,                  0.004455
NTP                ,                 1,            0,         9, System        ,          18,    148,               1.000000,               0.000000,           90.000000,            0.000000,          114.635135,        11538.353360,      10317.162162,           93460662.216947,               0.001711,               0.000001,                        0.000930,                        0.000000,                    0.000406,                    0.000000,               0.000375,               0.000000,                      0.543250,                      0.098414,                       0.237338,                       0.028809,                  0.219412,                  0.028105
LLMNR              ,                 1,            0,       154, Network       ,          14,    116,               1.000000,               0.000000,          109.775862,          767.208383,           22.094828,           24.637559,       2444.034483,             736958.464328,               0.002797,               0.000002,                        0.001877,                        0.000002,                    0.000565,                    0.000000,               0.000356,               0.000000,                      0.670974,                      0.042790,                       0.201915,                       0.034940,                  0.127111,                  0.021346
SSDP               ,                 1,            0,        12, System        ,          18,    111,               1.000000,               0.000000,          214.963964,           38.737440,           54.369369,          171.854557,      11614.369369,            4561225.854557,               0.004880,               0.000001,                        0.004236,                        0.000001,                    0.000255,                    0.000000,               0.000389,               0.000000,                      0.868036,                      0.011847,                       0.052349,                       0.003308,                  0.079615,                  0.005675
TLS.Cloudflare     ,                 1,           91,       220, Media         ,           1,    105,               4.000000,               0.000000,          447.028571,         2396.637279,           52.933333,         1111.795556,      29205.438095,          872991513.369977,               0.008218,               0.000001,                        0.007153,                        0.000001,                    0.000472,                    0.000000,               0.000594,               0.000000,                      0.870351,                      0.004885,                       0.057410,                       0.002379,                  0.072239,                  0.001965
