protocol,flow_count,detecting_detection_only_mean_ms,W_mean_us,log_W,cluster_id,cluster_center_log_W,bucket
TLS.Apple,11,0.005196272727272727,5.196272727272727,1.6479415853586865,1,1.7433702566400517,Middle
TLS.Cachefly,22,0.005368863636363636,5.368863636363636,1.680616272787406,1,1.7433702566400517,Middle
HTTP.Apple,5,0.0054268,5.4268,1.6913496416290166,1,1.7433702566400517,Middle
HTTP.Microsoft,159,0.005451955974842767,5.451955974842767,1.6959744387545015,1,1.7433702566400517,Middle
HTTP.Yahoo,88,0.005636340909090909,5.63634090909091,1.729235079980527,1,1.7433702566400517,Middle
HTTP.Google,775,0.005915349677419354,5.915349677419354,1.777550612744604,1,1.7433702566400517,Middle
HTTP,15771,0.006023109314564708,6.023109314564708,1.7956036234178379,1,1.7433702566400517,Middle
HTTP.Mozilla,8,0.006200625,6.2006250000000005,1.82465009342203,1,1.7433702566400517,Middle
TLS.Google,12454,0.006271519993576361,6.27151999357636,1.8360187484829895,1,1.7433702566400517,Middle
TLS.FbookReelStory,248,0.006395608870967742,6.395608870967742,1.8556116409704675,1,1.7433702566400517,Middle
SMTPS.GMail,343,0.0064548775510204085,6.454877551020409,1.8648360544859006,1,1.7433702566400517,Middle
TLS.Facebook,1526,0.006535511140235911,6.535511140235911,1.8772505598148743,1,1.7433702566400517,Middle
TLS.DirecTV,13,0.006557153846153846,6.557153846153846,1.8805566438938106,1,1.7433702566400517,Middle
TLS.NetFlix,18,0.006609944444444444,6.609944444444444,1.888575249054363,1,1.7433702566400517,Middle
TLS.Alibaba,62,0.006742467741935484,6.742467741935484,1.9084259917319064,1,1.7433702566400517,Middle
TLS.VK,57,0.006754824561403509,6.754824561403509,1.9102569994099792,1,1.7433702566400517,Middle
TLS.eBay,305,0.006755629508196722,6.755629508196722,1.9103761585129995,1,1.7433702566400517,Middle
TLS.GoogleMaps,14,0.006757642857142857,6.757642857142857,1.910674139476692,1,1.7433702566400517,Middle
TLS.Taobao,12,0.006772,6.772,1.912796464270889,1,1.7433702566400517,Middle
TLS.Huawei,12,0.0067747499999999995,6.774749999999999,1.9132024657159254,1,1.7433702566400517,Middle
TLS.Canonical,942,0.0067784108280254775,6.778410828025478,1.9137426833317215,1,1.7433702566400517,Middle
TLS.Instagram,15,0.0067852,6.7852,1.9147437696394307,1,1.7433702566400517,Middle
TLS.YouTube,250,0.0067889280000000005,6.788928,1.9152930498721987,1,1.7433702566400517,Middle
TLS.GoTo,32,0.0067986875,6.7986875,1.9167295788464431,1,1.7433702566400517,Middle
TLS.Pinterest,40,0.006808400000000001,6.808400000000001,1.9181571439516811,1,1.7433702566400517,Middle
TLS.AWS_Cloudfront,749,0.006894317757009346,6.894317757009346,1.930697558852807,1,1.7433702566400517,Middle
TLS.GoogleServices,1015,0.006908184236453202,6.908184236453202,1.9327068299422856,1,1.7433702566400517,Middle
TLS.Cloudflare,136,0.006928544117647059,6.928544117647059,1.9356497070974565,1,1.7433702566400517,Middle
TLS.AWS_S3,353,0.006942365439093484,6.942365439093484,1.9376425578134266,1,1.7433702566400517,Middle
TLS.Github,15,0.006946266666666667,6.946266666666666,1.9382043449852777,1,1.7433702566400517,Middle
TLS.LinkedIn,228,0.006957517543859649,6.957517543859649,1.9398227359899576,1,1.7433702566400517,Middle
TLS,69395,0.006968302701923769,6.968302701923769,1.9413716803293368,1,1.7433702566400517,Middle
TLS.Xiaomi,7,0.006992714285714285,6.992714285714285,1.944868790703338,1,1.7433702566400517,Middle
TLS.Twitter,785,0.0070400267515923565,7.0400267515923565,1.9516119701048273,1,1.7433702566400517,Middle
TLS.RUTUBE,30,0.007045566666666667,7.045566666666667,1.9523985774127994,1,1.7433702566400517,Middle
TLS.Yahoo,580,0.007078781034482758,7.078781034482758,1.957101722611829,1,1.7433702566400517,Middle
TLS.Yandex,362,0.007081458563535911,7.081458563535911,1.9574798982869692,1,1.7433702566400517,Middle
TLS.Tumblr,20,0.0071169499999999995,7.116949999999999,1.9624792628603913,1,1.7433702566400517,Middle
TLS.Microsoft365,244,0.007134840163934427,7.1348401639344265,1.9649898489868376,1,1.7433702566400517,Middle
TLS.Tor,19,0.007188263157894737,7.1882631578947365,1.9724495789766345,1,1.7433702566400517,Middle
TLS.PlayStore,5,0.0073216,7.3216,1.9908288833232324,1,1.7433702566400517,Middle
TLS.Azure,44,0.007332409090909092,7.332409090909092,1.9923041236895218,1,1.7433702566400517,Middle
TLS.Mozilla,1867,0.007385833422603107,7.385833422603107,1.999563763048928,1,1.7433702566400517,Middle
