protocol,protocol_detected,master_proto,app_proto,category_name,category_id,flows,avg_detect_pkt_in_flow,var_detect_pkt_in_flow,avg_detecting_bytes,var_detecting_bytes,avg_packets_in_flow,var_packets_in_flow,avg_bytes_in_flow,var_bytes_in_flow,avg_detecting_total_ms,var_detecting_total_ms,avg_detecting_detection_only_ms,var_detecting_detection_only_ms,avg_detecting_flow_table_ms,var_detecting_flow_table_ms,avg_detecting_other_ms,var_detecting_other_ms,avg_detecting_detection_ratio,var_detecting_detection_ratio,avg_detecting_flow_table_ratio,var_detecting_flow_table_ratio,avg_detecting_other_ratio,var_detecting_other_ratio
TLS.IHeartRadio,1,91,325,Music,25,48,4.0,0.0,419.875,197.02604166666666,137.27083333333334,107292.94748263888,148679.1875,189040097122.2357,0.006126437499999999,1.1220212877604169e-06,0.005152291666666667,1.0692088315972222e-06,0.0003385833333333333,1.3333040972222218e-07,0.0006355625,1.3241491276041664e-07,0.8415197916666667,0.004140095378581597,0.05460183333333333,0.002882875889347222,0.10387837500000001,0.003120456896567708
STUN,1,0,78,Network,14,46,3.6956521739130435,76.29867674858225,689.9782608695652,4799948.499527412,29.32608695652174,8202.958884688089,2923.804347826087,67759769.63563327,0.0028493478260869566,1.3806510183364837e-05,0.0015802173913043477,3.6750330831758036e-06,0.0004815,4.478239891304349e-07,0.0007876304347826088,1.7732488416824198e-06,0.5905475652173913,0.030177460564028365,0.17277489130434784,0.02223900972735775,0.2366776086956522,0.034436289830412095
TLS.Azure,1,91,276,Cloud,13,44,4.0,0.0,480.6136363636364,5048.555268595042,115.0,85297.09090909091,109825.43181818182,121909642498.65448,0.010986727272727271,0.0002423036858347107,0.009997250000000001,0.0002404071011420455,0.00037531818181818185,1.2551517148760329e-07,0.000614159090909091,1.9103881559917357e-07,0.8894073181818182,0.002855151890580578,0.04333481818181818,0.0017424997373305785,0.06725788636363637,0.002002892261737087
TLS.Teams,1,91,250,Collaborative,15,43,4.0,0.0,714.4186046511628,3781.3131422390493,15.0,3.953488372093023,4176.581395348837,8775090.522444563,0.011916069767441861,1.5824278323418062e-06,0.010802651162790696,1.8312517620335318e-06,0.0003329767441860465,1.1745392969172527e-07,0.0007804418604651164,1.5463401406165498e-07,0.9056615116279069,0.0014908482382033534,0.02758781395348837,0.0007107507120118982,0.06675076744186047,0.0012444520400389399
TLS.MS_OneDrive,1,91,221,Cloud,13,42,4.0,0.0,446.3095238095238,300.9280045351474,30.666666666666668,760.6031746031747,9791.57142857143,27772332.625850342,0.011243857142857142,5.789442931972788e-06,0.010100023809523809,4.733541547052155e-06,0.0004616190476190476,1.8613333106575961e-07,0.0006822142857142857,4.596376921768708e-07,0.9002619523809523,0.0027061533765215424,0.0422322619047619,0.001618278149574263,0.05750576190476191,0.0019328969238480728
TLS.Pinterest,1,91,183,SocialNetwork,6,40,4.0,0.0,461.725,2548.099375,36.175,207.144375,10185.1,59684322.89000001,0.00826295,4.791948975e-07,0.007164375000000001,2.093955843750001e-07,0.00043082499999999997,1.45839894375e-07,0.00066775,2.101829875e-07,0.86972795,0.0023291759162475,0.051508225,0.001944726007924375,0.07876385,0.0023807729817275003
HTTP.Twitter,1,7,120,SocialNetwork,6,38,4.0,0.0,743.9473684210526,11976.313019390582,61.28947368421053,29273.62673130192,57371.89473684211,50323266933.30472,0.0059631052631578954,3.6560451468144047e-06,0.0048846842105263145,3.127509847645429e-06,0.0005022368421052631,3.8604149653739614e-07,0.0005761842105263159,1.547887292243767e-07,0.8193049210526316,0.007673669390809557,0.08306744736842105,0.007376275290457757,0.09762760526315789,0.0036253728371862877
HTTP.Facebook,1,7,119,SocialNetwork,6,38,4.0,0.0,618.3947368421053,2198.8178670360107,24.394736842105264,85.87049861495844,12908.342105263158,106942361.96191138,0.005471157894736841,3.839486764542938e-06,0.004383921052631578,3.836412914819945e-06,0.00044536842105263164,1.618860747922438e-07,0.0006418684210526314,1.458449037396122e-07,0.7959005,0.0053725713407763165,0.08160613157894736,0.004882180924166897,0.12249326315789476,0.005110437429930749
TLS.GoTo,1,91,293,VoIP,10,32,4.0,0.0,512.90625,15151.0849609375,577.90625,490080.8974609375,649898.46875,716547713006.8115,0.009451593749999999,2.0428638991210928e-05,0.00840490625,2.1245855022460938e-05,0.00041049999999999995,3.023485e-07,0.0006361875,1.4042690234374998e-07,0.8797212812499999,0.003973777975702148,0.0451809375,0.002929601397621093,0.07509790625000001,0.002317885918022461
HTTP_Connect.Azure,1,130,276,Cloud,13,31,4.0,0.0,447.16129032258067,21.103017689906352,24.387096774193548,3.3985431841831426,12150.451612903225,157181894.37669098,0.006665870967741936,1.575587596253902e-06,0.0057225806451612895,1.2813353402705516e-06,0.00030435483870967745,1.0475790634755467e-07,0.0006389354838709677,1.6069909261186263e-07,0.8594932258064516,0.0033334752409490123,0.04706532258064518,0.002594929381831426,0.0934413870967742,0.0025247039050114465
TLS.RUTUBE,1,91,443,Media,1,30,4.0,0.0,763.1666666666666,10302.605555555554,201.33333333333334,102088.28888888888,235321.03333333333,187919492895.69894,0.008096166666666666,1.1555348055555557e-06,0.006905966666666666,2.7272569888888897e-07,0.0004732,8.753080933333333e-07,0.0007169999999999999,1.6529993333333335e-07,0.8615735666666668,0.00587549535637889,0.05100909999999999,0.006343291111356667,0.08741733333333333,0.0020853352365555553
Blizzard,1,0,213,Game,8,30,16.133333333333333,192.51555555555558,2335.9666666666667,3470187.232222222,216.8,102702.76000000007,49195.76666666667,1453840641.2455559,0.009961133333333332,6.0416457382222224e-05,0.004734133333333334,6.685637115555556e-06,0.0018319666666666667,6.526219298888889e-06,0.003395033333333334,1.0146383365555556e-05,0.5817491333333334,0.02180764542091556,0.14279449999999996,0.00876812566985,0.27545626666666667,0.01560227235592889
HTTP.Canonical,1,7,169,Cloud,13,26,4.0,0.0,500.6923076923077,3373.5976331360944,1389.3461538461538,27860792.149408285,3069867.653846154,176785094454365.16,0.005337846153846155,3.6238346686390532e-06,0.004309192307692307,2.703743847633136e-06,0.0003910384615384615,2.2682980621301779e-07,0.0006376153846153846,2.0184662130177515e-07,0.8075328076923076,0.006573470878463017,0.07114369230769231,0.00571755360075148,0.12132346153846153,0.005080010611094675
SMTPS,1,0,29,Email,3,26,6.153846153846154,55.66863905325444,932.1153846153846,3389344.6405325434,52.65384615384615,252.30325443786978,5905.538461538462,3193506.479289941,0.006696730769230769,4.135600119822485e-06,0.005401923076923077,2.518343378698225e-06,0.0004415384615384616,1.781009408284024e-07,0.0008532692307692306,8.704479659763314e-07,0.8185607307692307,0.011380510159196746,0.06346884615384615,0.002639522581591716,0.11797046153846155,0.007444682475710059
HTTP.AWS_S3,1,7,463,Cloud,13,25,4.0,0.0,607.2,4128.240000000001,21.72,169.4016,9039.2,251201349.52000007,0.0048706,3.064402400000001e-07,0.0038622400000000003,1.3315074239999994e-07,0.00029108,6.539807360000001e-08,0.00071728,2.3473612159999998e-07,0.79848688,0.0059716265254656,0.059567680000000005,0.0026462042297375997,0.14194536000000002,0.006662444910790401
