protocol,protocol_detected,master_proto,app_proto,category_name,category_id,flows,avg_detect_pkt_in_flow,var_detect_pkt_in_flow,avg_detecting_bytes,var_detecting_bytes,avg_packets_in_flow,var_packets_in_flow,avg_bytes_in_flow,var_bytes_in_flow,avg_detecting_instructions,var_detecting_instructions,avg_detecting_cycles,var_detecting_cycles,avg_detecting_ipc,var_detecting_ipc,avg_detecting_llc_misses,var_detecting_llc_misses,avg_detecting_llc_refs,var_detecting_llc_refs,avg_detecting_llc_miss_ratio,var_detecting_llc_miss_ratio,avg_detecting_branch_misses,var_detecting_branch_misses,avg_detecting_branch_miss_per_kinst,var_detecting_branch_miss_per_kinst
TLS.VK,1,91,22,SocialNetwork,6,57,4.0,0.0,502.7719298245614,17047.755001538935,90.7719298245614,18805.053247152966,73487.59649122808,23116252797.082794,135462.98245614034,100708162.89442904,42526.42105263158,13525550.068328718,3.1943053684210523,0.04746486793163621,23.94736842105263,306.6112650046168,73.36842105263158,2159.285318559557,0.34295152631578946,0.029434546195021238,79.84210526315789,1024.7996306555863,0.27255101754385963,0.01743421272408741
HTTP_Connect.Github,1,130,203,Collaborative,15,55,4.0,0.0,409.8181818181818,93.42148760330579,24.381818181818183,23.472396694214886,10296.418181818182,5753322.934214877,50772.38181818182,946149.0360330576,23828.29090909091,18695043.042644627,2.187195054545455,0.1047450627657243,7.709090909090909,102.35173553719008,232.4,215208.16727272718,0.08996663636363637,0.014683120388631404,94.74545454545455,2381.462479338843,1.2163327818181815,0.3930024908735888
POPS,1,0,23,Email,3,53,32.45283018867924,3.4553221787112824,10836.528301886792,99533099.72089708,127.30188679245283,16254.814524741905,93394.03773584905,23693907979.394806,114172.15094339622,212703514.54325384,63493.660377358494,40473406.563901745,1.8066445660377357,0.05839713504417016,122.54716981132076,9065.417586329653,787.1320754716982,106767.28444286222,0.141606,0.0059943009484528294,188.47169811320754,586.3624065503739,1.1156181509433962,0.2769601403284301
NetBIOS.SMBv1,1,10,16,System,18,51,1.4705882352941178,5.425605536332178,321.37254901960785,96375.60630526721,114.84313725490196,63524.249903883116,30204.254901960783,4534435693.052673,16587.58823529412,420549217.183391,15906.549019607843,204378000.012303,1.0089120980392157,0.04333213764150021,24.470588235294116,357.70011534025366,329.6470588235294,57877.365628604384,0.10630698039215687,0.010134791506842756,146.13725490196077,18921.569396386007,3.4430691372549016,2.819133664691216
IMAP,1,0,4,Email,3,50,32.2,0.31999999999999995,5546.0,6319141.32,56.14,708.4404000000001,9040.56,54058854.24640001,100454.96,430386164.51839995,85862.6,537529075.4,1.20544026,0.051384607014592396,537.42,120812.28359999998,1375.28,174631.0816,0.36948391999999997,0.030861961886993597,194.96,1081.3984,1.59166034,0.06898348175458441
TLS.IHeartRadio,1,91,325,Music,25,48,4.0,0.0,419.875,197.02604166666666,137.27083333333334,107292.94748263888,148679.1875,189040097122.2357,90929.22916666667,50834434.17664931,31369.104166666668,13676819.093315974,2.9168867499999998,0.04533896783864585,11.770833333333334,91.92664930555554,79.33333333333333,10318.59722222222,0.2016225833333333,0.02146890336270139,75.04166666666667,952.6232638888888,0.3268150625,0.038499530024225265
STUN,1,0,78,Network,14,46,3.6956521739130435,76.29867674858225,689.9782608695652,4799948.499527412,29.32608695652174,8202.958884688089,2923.804347826087,67759769.63563327,17769.847826086956,1001262979.7377127,14743.91304347826,479495254.9489602,1.2023821521739129,0.1618135555887377,76.97826086956522,22735.3690926276,229.8913043478261,210736.31427221175,0.4419309782608695,0.033047173456629976,74.47826086956522,3889.5538752362936,3.497730630434783,4.5914534990475815
TLS.Azure,1,91,276,Cloud,13,44,4.0,0.0,480.6136363636364,5048.555268595042,115.0,85297.09090909091,109825.43181818182,121909642498.65448,143388.8409090909,13944850.906508261,44762.88636363636,11556507.60072314,3.2182815227272727,0.04498063303170401,19.136363636363637,206.20867768595042,133.61363636363637,108001.41890495866,0.2368191363636363,0.023984891989845044,89.9090909090909,1603.128099173554,0.26445368181818185,0.028634595311307853
TLS.MS_OneDrive,1,91,221,Cloud,13,42,4.0,0.0,446.3095238095238,300.9280045351474,30.666666666666668,760.6031746031747,9791.57142857143,27772332.625850342,152380.52380952382,49176915.963718824,57221.19047619047,94391447.82086168,2.718262880952381,0.12462673243862865,47.95238095238095,3529.997732426303,315.3809523809524,104815.56916099774,0.1663867142857143,0.008038384389299318,297.7857142857143,11658.97789115646,1.0362060476190476,0.11816401667985488
TLS.Teams,1,91,250,Collaborative,15,40,4.0,0.0,720.7,2078.3099999999995,15.0,3.9,4144.65,8702207.5275,140298.65,293615.97750000004,60702.475,30011515.549375005,2.3271373,0.03210413281331,65.65,2779.7775,864.6,22538.79,0.071548375,0.0014582261073843752,327.15,5378.0775,1.585470125,0.22065596005205937
TLS.Pinterest,1,91,183,SocialNetwork,6,40,4.0,0.0,461.725,2548.099375,36.175,207.144375,10185.1,59684322.89000001,137605.675,2486339.819375,43126.75,3925521.5875,3.1970670500000002,0.02037463895619749,17.725,111.49937500000001,71.55,2041.2475,0.2906651,0.022908120857639998,92.225,881.7243749999998,0.298682125,0.008303509222909374
HTTP.Twitter,1,7,120,SocialNetwork,6,38,4.0,0.0,743.9473684210526,11976.313019390582,61.28947368421053,29273.62673130192,57371.89473684211,50323266933.30472,64187.5,145764575.67105263,32261.07894736842,82948507.44113573,2.0495033947368424,0.08084210866387051,26.342105263157894,381.8040166204987,198.6315789473684,33805.86426592797,0.20275365789473684,0.024661253586119803,200.42105263157896,9887.612188365652,1.6962224473684213,0.659229224184563
HTTP.Facebook,1,7,119,SocialNetwork,6,38,4.0,0.0,618.3947368421053,2198.8178670360107,24.394736842105264,85.87049861495844,12908.342105263158,106942361.96191138,61726.65789473684,57894444.11980609,28894.86842105263,91518185.0090028,2.2105283421052624,0.07058433944780403,20.605263157894736,168.23891966759004,259.4736842105263,162242.8808864266,0.11985371052631578,0.005217250483310942,154.60526315789474,21751.238919667583,1.3091622631578947,1.3393968561259308
TLS.GoTo,1,91,293,VoIP,10,32,4.0,0.0,512.90625,15151.0849609375,577.90625,490080.8974609375,649898.46875,716547713006.8115,139414.5,751886.1875,44663.84375,62733366.19433594,3.180995,0.12140177834212502,18.5625,1073.18359375,145.0,47480.9375,0.25177178125,0.0428219309442959,104.0,8103.5625,0.207442875,0.06602189778004687
