protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_instructions, var_detecting_instructions, avg_detecting_cycles, var_detecting_cycles, avg_detecting_ipc, var_detecting_ipc, avg_detecting_llc_misses, var_detecting_llc_misses, avg_detecting_llc_refs, var_detecting_llc_refs, avg_detecting_llc_miss_ratio, var_detecting_llc_miss_ratio, avg_detecting_branch_misses, var_detecting_branch_misses, avg_detecting_branch_miss_per_kinst, var_detecting_branch_miss_per_kinst
QUIC.Google        ,                 1,          188,       126, Web           ,           5,    381,               1.000000,               0.000000,         1392.000000,            0.000000,           82.866142,       188184.063447,      66107.498688,       162866042973.662079,               16015.797900,             3998058.806925,         11124.960630,      11081003.901337,          1.439627,          0.395363,                13.133858,               261.769484,             122.742782,           14272.395781,                     0.107003,                     0.048628,                   66.144357,                 1531.309870,                            4.129945,                            4.201485
TLS.Yandex         ,                 1,           91,        25, Web           ,           5,    362,               4.000000,               0.000000,          543.676796,        22692.014323,           56.980663,         9955.206808,      44934.817680,        15092396326.115931,              140016.464088,            55819314.077438,         44814.461326,      49133636.541322,          3.124359,          0.251586,                20.563536,               249.892372,              80.027624,            4511.485425,                     0.256955,                     0.054823,                   99.850829,                 2875.414212,                            0.713136,                            0.140402
TLS.Microsoft      ,                 1,           91,       212, Web           ,           5,    354,               4.000000,               0.000000,          455.652542,          287.153284,           35.005650,         9087.231606,      24831.175141,        13257472399.805485,              156548.593220,            73587049.037918,         54625.539548,      49637898.903803,          2.865850,          0.333688,                34.025424,               901.375060,             216.790960,           64362.690766,                     0.156950,                     0.035043,                  240.333333,                16034.436911,                            1.535200,                            0.620988
TLS.AWS_S3         ,                 1,           91,       463, Cloud         ,          13,    353,               4.002833,               0.002825,          455.073654,         3462.612139,           30.373938,          481.202947,      12098.484419,          583844113.898482,              136639.742210,           331317880.865559,         43823.801700,      40477716.561244,          3.117934,          0.110727,                15.271955,               143.705077,              97.716714,            6327.755443,                     0.156288,                     0.030651,                  104.422096,                 3482.742515,                            0.764215,                            0.143569
SMTPS.GMail        ,                 1,           29,       122, Email         ,           3,    343,               4.005831,               0.011628,          436.271137,          783.177214,           43.405248,            7.343063,       8127.262391,            1871708.432609,               96733.892128,            13335014.667664,         41044.874636,      61460978.581951,          2.356784,          0.214899,                19.478134,               644.692671,             287.259475,           82397.218387,                     0.067807,                     0.008776,                  239.807580,                 2137.344899,                            2.479044,                            0.208294
QUIC.Google        ,                 1,          188,       126, Advertisement ,         101,    334,               1.000000,               0.000000,         1392.000000,            0.000000,           53.862275,         9293.507978,      30341.194611,         4955985937.162725,               18246.008982,             6688588.733452,         11639.044910,       9209232.941097,          1.567655,          0.332735,                11.544910,               124.182115,             124.152695,           29337.135367,                     0.092990,                     0.046922,                   68.209581,                 1230.698591,                            3.738329,                            3.633168
TLS.eBay           ,                 1,           91,       179, Shopping      ,          27,    305,               4.000000,               0.000000,          492.501639,        12567.154915,           60.747541,         6475.395281,      40340.531148,        10757704367.363785,              138561.685246,            34265649.566505,         42084.750820,      17688105.544466,          3.292444,          0.159757,                13.957377,                87.457200,              52.878689,            5538.572169,                     0.263951,                     0.090477,                   73.695082,                 1714.323418,                            0.531858,                            0.090671
TLS                ,                 1,            0,        91, Media         ,           1,    270,               4.003704,               0.003690,          562.881481,        25345.778546,           78.529630,         2818.826900,      62651.937037,         3158454058.118258,              143628.225926,            92798754.434143,         45954.525926,      17061541.027106,          3.125442,          0.183910,                16.640741,               176.867229,             105.344444,           15765.566543,                     0.157965,                     0.041912,                  113.796296,                 4487.184431,                            0.792298,                            0.247438
TLS.YouTube        ,                 1,           91,       124, Media         ,           1,    250,               4.000000,               0.000000,          547.808000,        23935.683136,          241.608000,       338067.598336,     296689.576000,       836612918975.412231,              136128.792000,           145774386.884739,         42942.100000,      27622670.210000,          3.170054,          0.147252,                13.592000,                73.297536,             103.520000,           26792.217600,                     0.131298,                     0.060784,                   97.360000,                 2956.078400,                            0.715205,                            0.139302
TLS.FbookReelStory ,                 1,           91,       337, SocialNetwork ,           6,    248,               4.000000,               0.000000,          458.225806,         2715.199011,           59.951613,         8918.594433,      46273.016129,        11715801465.644901,              127122.766129,           476799734.751757,         40576.342742,      89656543.184947,          3.132928,          0.241200,                15.370968,               128.563996,              89.133065,           10162.591165,                     0.172450,                     0.056178,                   76.971774,                 2469.583881,                            0.605492,                            0.131195
