protocol,W_detecting_us,W_detection_only_us,W_bucket_us,flow_count,log_W,cluster_id,cluster_center_log_W,bucket
DCERPC,5.267581818181819,4.22678787878788,4.22678787878788,165,1.441442337876425,1,1.768139001662358,Middle
HTTP.GoogleServices,5.298685714285715,4.457528571428572,4.457528571428572,210,1.4945944804774254,1,1.768139001662358,Middle
HTTP.MpegDash,5.283,4.5066,4.5066,5,1.505542988937884,1,1.768139001662358,Middle
HTTP.Twitter,5.441578947368421,4.7077368421052626,4.7077368421052626,38,1.5492072919363193,1,1.768139001662358,Middle
SMTPS,5.62,4.747833333333333,4.747833333333333,24,1.5576883736320166,1,1.768139001662358,Middle
HTTP.Espn,5.637416666666667,4.863500000000001,4.863500000000001,12,1.581758343327358,1,1.768139001662358,Middle
HTTP.Microsoft365,5.638010989010989,4.88056043956044,4.88056043956044,91,1.5852600574431899,1,1.768139001662358,Middle
TLS.IHeartRadio,5.630812499999999,4.9132083333333325,4.9132083333333325,48,1.59192715679252,1,1.768139001662358,Middle
HTTP.AmazonAWS,5.584722222222223,4.937333333333332,4.937333333333332,18,1.5968253743832563,1,1.768139001662358,Middle
HTTP.WindowsUpdate,5.797196969696969,5.1389545454545456,5.1389545454545456,66,1.6368496629533735,1,1.768139001662358,Middle
TLS.Apple,6.0040000000000004,5.196272727272727,5.196272727272727,11,1.6479415853586865,1,1.768139001662358,Middle
TLS.Cachefly,6.124636363636363,5.368863636363636,5.368863636363636,22,1.680616272787406,1,1.768139001662358,Middle
HTTP.Apple,6.103,5.4268,5.4268,5,1.6913496416290166,1,1.768139001662358,Middle
HTTP.Microsoft,6.1585157232704395,5.451955974842767,5.451955974842767,159,1.6959744387545015,1,1.768139001662358,Middle
HTTP.Yahoo,6.347579545454546,5.63634090909091,5.63634090909091,88,1.729235079980527,1,1.768139001662358,Middle
HTTP.AccuWeather,6.1925,5.702000000000001,5.702000000000001,2,1.7408169904904804,1,1.768139001662358,Middle
HTTP.Azure,6.3685,5.849500000000001,5.849500000000001,2,1.7663561875055194,1,1.768139001662358,Middle
HTTP.Google,6.822064516129032,5.915349677419354,5.915349677419354,775,1.777550612744604,1,1.768139001662358,Middle
HTTP,6.797271954853846,6.023109314564708,6.023109314564708,15771,1.7956036234178379,1,1.768139001662358,Middle
HTTP.Mozilla,7.074875,6.2006250000000005,6.2006250000000005,8,1.82465009342203,1,1.768139001662358,Middle
TLS.Google,7.041296370643971,6.27151999357636,6.27151999357636,12454,1.8360187484829895,1,1.768139001662358,Middle
TLS.FbookReelStory,7.127056451612903,6.395608870967742,6.395608870967742,248,1.8556116409704675,1,1.768139001662358,Middle
SMTPS.GMail,7.2513411078717205,6.454877551020409,6.454877551020409,343,1.8648360544859006,1,1.768139001662358,Middle
HTTP.WebSocket,7.816,6.495,6.495,1,1.871032650122563,1,1.768139001662358,Middle
TLS.Facebook,7.290803407601573,6.535511140235911,6.535511140235911,1526,1.8772505598148743,1,1.768139001662358,Middle
TLS.DirecTV,7.303769230769231,6.557153846153846,6.557153846153846,13,1.8805566438938106,1,1.768139001662358,Middle
TLS.NetFlix,7.376222222222222,6.609944444444444,6.609944444444444,18,1.888575249054363,1,1.768139001662358,Middle
TLS.Alibaba,7.478951612903226,6.742467741935484,6.742467741935484,62,1.9084259917319064,1,1.768139001662358,Middle
TLS.VK,7.49480701754386,6.754824561403509,6.754824561403509,57,1.9102569994099792,1,1.768139001662358,Middle
TLS.eBay,7.569708196721312,6.755629508196722,6.755629508196722,305,1.9103761585129995,1,1.768139001662358,Middle
TLS.GoogleMaps,7.667571428571428,6.757642857142857,6.757642857142857,14,1.910674139476692,1,1.768139001662358,Middle
TLS.Taobao,7.53025,6.772,6.772,12,1.912796464270889,1,1.768139001662358,Middle
TLS.Huawei,7.449,6.774749999999999,6.774749999999999,12,1.9132024657159254,1,1.768139001662358,Middle
TLS.Canonical,7.7580976645435245,6.778410828025478,6.778410828025478,942,1.9137426833317215,1,1.768139001662358,Middle
TLS.Instagram,7.503800000000001,6.7852,6.7852,15,1.9147437696394307,1,1.768139001662358,Middle
TLS.YouTube,7.54192,6.788928,6.788928,250,1.9152930498721987,1,1.768139001662358,Middle
TLS.GoTo,7.6575625,6.7986875,6.7986875,32,1.9167295788464431,1,1.768139001662358,Middle
TLS.Pinterest,7.5440000000000005,6.808400000000001,6.808400000000001,40,1.9181571439516811,1,1.768139001662358,Middle
TLS.SoundCloud,7.3085,6.828,6.828,2,1.9210318049321942,1,1.768139001662358,Middle
TLS.AWS_Cloudfront,7.711052069425902,6.894317757009346,6.894317757009346,749,1.930697558852807,1,1.768139001662358,Middle
TLS.Twitch,8.217,6.904999999999999,6.904999999999999,1,1.9322457868612553,1,1.768139001662358,Middle
TLS.GoogleServices,7.646316256157635,6.908184236453202,6.908184236453202,1015,1.9327068299422856,1,1.768139001662358,Middle
TLS.Cloudflare,7.713647058823529,6.928544117647059,6.928544117647059,136,1.9356497070974565,1,1.768139001662358,Middle
TLS.AWS_S3,7.659787535410763,6.942365439093484,6.942365439093484,353,1.9376425578134266,1,1.768139001662358,Middle
TLS.Github,7.791666666666667,6.946266666666666,6.946266666666666,15,1.9382043449852777,1,1.768139001662358,Middle
TLS.LinkedIn,7.8305964912280706,6.957517543859649,6.957517543859649,228,1.9398227359899576,1,1.768139001662358,Middle
TLS,7.734548901217666,6.968302701923769,6.968302701923769,69395,1.9413716803293368,1,1.768139001662358,Middle
TLS.Amazon,7.7090000000000005,6.980666666666666,6.980666666666666,3,1.9431444231971606,1,1.768139001662358,Middle
TLS.Xiaomi,7.829285714285714,6.992714285714285,6.992714285714285,7,1.944868790703338,1,1.768139001662358,Middle
TLS.Twitter,7.7981235668789814,7.0400267515923565,7.0400267515923565,785,1.9516119701048273,1,1.768139001662358,Middle
TLS.RUTUBE,7.819400000000001,7.045566666666667,7.045566666666667,30,1.9523985774127994,1,1.768139001662358,Middle
TLS.Yahoo,7.835122413793104,7.078781034482758,7.078781034482758,580,1.957101722611829,1,1.768139001662358,Middle
TLS.Yandex,7.828118784530387,7.081458563535911,7.081458563535911,362,1.9574798982869692,1,1.768139001662358,Middle
TLS.DigitalOcean,7.75075,7.0920000000000005,7.0920000000000005,4,1.9589673882119616,1,1.768139001662358,Middle
TLS.Tumblr,7.925650000000001,7.116949999999999,7.116949999999999,20,1.9624792628603913,1,1.768139001662358,Middle
TLS.Microsoft365,8.010766393442623,7.1348401639344265,7.1348401639344265,244,1.9649898489868376,1,1.768139001662358,Middle
TLS.Naver,7.924333333333333,7.182333333333333,7.182333333333333,3,1.9716243070539865,1,1.768139001662358,Middle
TLS.Tor,7.910263157894738,7.1882631578947365,7.1882631578947365,19,1.9724495789766345,1,1.768139001662358,Middle
TLS.Pastebin,8.106,7.2059999999999995,7.2059999999999995,4,1.9749140123259015,1,1.768139001662358,Middle
TLS.PlayStore,8.252600000000001,7.3216,7.3216,5,1.9908288833232324,1,1.768139001662358,Middle
TLS.Azure,8.060659090909091,7.332409090909092,7.332409090909092,44,1.9923041236895218,1,1.768139001662358,Middle
TLS.Mozilla,8.170263524370649,7.385833422603107,7.385833422603107,1867,1.999563763048928,1,1.768139001662358,Middle
TLS.ParamountPlus,8.270666666666667,7.469666666666666,7.469666666666666,3,2.010850375212904,1,1.768139001662358,Middle
TLS.AmazonAWS,8.308818181818182,7.532181818181818,7.532181818181818,11,2.0191847499328985,1,1.768139001662358,Middle
TLS.DisneyPlus,8.330428571428572,7.543714285714286,7.543714285714286,7,2.0207146715644164,1,1.768139001662358,Middle
TLS.BitTorrent,8.8325,7.6895,7.6895,2,2.039855761897841,1,1.768139001662358,Middle
TLS.Deezer,8.347900000000001,7.7015,7.7015,10,2.0414151150823754,1,1.768139001662358,Middle
TLS.AppleiTunes,8.942,7.758,7.758,1,2.0487245690177756,1,1.768139001662358,Middle
TLS.KakaoTalk,9.119,7.768,7.768,1,2.0500127309890237,1,1.768139001662358,Middle
TLS.TeamViewer,8.377,7.831000000000001,7.831000000000001,4,2.0580902157688006,1,1.768139001662358,Middle
TLS.AWS_API_Gateway,8.539,7.837666666666666,7.837666666666666,3,2.0589411710173593,1,1.768139001662358,Middle
TLS.Salesforce,8.739947368421054,7.9517500000000005,7.9517500000000005,76,2.0733920302282782,1,1.768139001662358,Middle
TLS.GoogleDocs,8.494,8.040000000000001,8.040000000000001,1,2.084429083190875,1,1.768139001662358,Middle
NetBIOS.SMBv23,9.50163687150838,8.325804469273741,8.325804469273741,179,2.11935966414364,1,1.768139001662358,Middle
TLS.WindowsUpdate,9.113791044776118,8.408999999999999,8.408999999999999,67,2.129302560850761,1,1.768139001662358,Middle
TLS.Microsoft,9.603545197740115,8.888338983050849,8.888338983050849,354,2.1847401910172013,2,2.5549267165987266,Hard
TLS.MS_OneDrive,9.840575757575758,9.096787878787879,9.096787878787879,33,2.2079213708575955,2,2.5549267165987266,Hard
IRC,14.876722222222222,13.006666666666666,13.006666666666666,18,2.5654620465268554,2,2.5549267165987266,Hard
HTTP.DisneyPlus,14.055642857142859,13.470928571428573,13.470928571428573,14,2.600533924306751,2,2.5549267165987266,Hard
HTTP.Naver,14.388428571428571,13.700000000000001,13.700000000000001,7,2.617395832834079,2,2.5549267165987266,Hard
FTP_CONTROL,16.950696145124716,14.398251700680273,14.398251700680273,441,2.6671067895362226,2,2.5549267165987266,Hard
AWS_EC2,22.895,20.933,20.933,2,3.041326861112383,2,2.5549267165987266,Hard
